Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11080040,Şairin Romanı,Murathan Mungan,"Mungan, Murathan",,"=""9753428081""","=""9789753428088""",2,4.32,Metis Yayıncılık,Paperback,592,2011,2011,,2015/06/02,,,read,,,,1,0
9269364,Deniz Feneri,Virginia Woolf,"Woolf, Virginia",Naciye Akseki Öncül,"=""""","=""9789754707939""",2,3.80,İletişim Yayınları,Paperback,248,2013,1927,,2015/06/02,,,read,,,,1,0
6394173,The New York Trilogy,Paul Auster,"Auster, Paul",,"=""0571244769""","=""9780571244768""",5,3.88,Faber and Faber,Paperback,314,2009,1987,,2015/06/01,,,read,,,,1,0
10686607,Sunset Park,Paul Auster,"Auster, Paul",Seçkin Selvi,"=""9750712544""","=""9789750712548""",4,3.59,Can Yayınları,Paperback,273,2011,2010,,2015/06/02,,,read,,,,1,0
18070190,Kadersizlik,Imre Kertész,"Kertész, Imre",İlknur İgan,"=""9755109161""","=""9789755109169""",4,4.07,Can Yayınları,Paperback,224,2003,1975,,2015/06/02,,,read,,,,1,0
18689349,Pnin,Vladimir Nabokov,"Nabokov, Vladimir",Tomris Uyar,"=""9754707553""","=""9789754707557""",3,3.89,İletişim Yayınları,Paperback,172,1999,1957,,2015/06/02,,,read,,,,1,0
24501694,Doğum Günü Partisi,Panos Karnezis,"Karnezis, Panos",Kıvanç Güney,"=""""","=""9789944860611""",3,2.97,Merkez Kitapları,Paperback,236,2008,2007,,2015/06/02,,,read,,,,1,0
10134686,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Ergin Altay, Vladimir Nabokov","=""9750500121""","=""9789750500121""",5,4.09,İletişim Yayınları,Paperback,1152,2010,1878,,2015/06/02,,,read,,,,1,0
12367392,Tekinsiz,Chuck Palahniuk,"Palahniuk, Chuck",Funda Uncu,"=""9755395504""","=""9789755395500""",4,3.60,Ayrıntı Yayınları,Paperback,472,2012,2005,,2015/06/02,,,read,,,,1,0
10933665,Beni Asla Bırakma,Kazuo Ishiguro,"Ishiguro, Kazuo",Mine Haydaroğlu,"=""9750811879""","=""9789750811876""",5,3.85,Yapı Kredi Yayınları,Paperback,272,2007,2005,,2015/06/02,,,read,,,,1,0
